boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 17, 53, 31, 24, 12, 54, 36.29, 32.05, 35.47, 36.29, 27.62, 31.35, 48.10, 51.28, 49.15, 55.27, 46.67, 46.49,2019-06-09, 46, 20, 56, 57, 52, 27, 30.95, 25.23, 45.04, 42.86, 36.64, 35.20, 53.17, 43.24, 58.78, 62.70, 60.31, 47.20,4,常　滑
 53, 59, 50, 64, 36, 51, 35.67, 29.22, 32.24, 30.71, 25.20, 37.58, 53.50, 43.51, 49.34, 47.14, 46.46, 50.30,2019-06-09, 51, 72, 69, 34, 30, 40, 45.86, 51.35, 23.26, 30.97, 31.01, 37.89, 64.33, 64.19, 41.86, 41.94, 44.30, 54.66,4,　津　
 24, 54, 52, 16, 49, 58,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-09, 53, 49, 41, 35, 44, 19,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,4,びわこ
 10, 33, 72, 68, 12, 54, 37.21, 37.21, 35.90, 32.61, 36.36, 41.30, 48.84, 55.81, 56.41, 50.00, 60.61, 65.22,2019-06-09, 17, 30, 69, 39, 18, 76, 52.17, 36.17, 44.44, 36.59, 25.58, 37.78, 65.22, 55.32, 57.78, 53.66, 53.49, 53.33,4,住之江
 54, 17, 13, 69, 65, 35, 35.06, 25.49, 34.94, 44.00, 47.83, 35.80, 61.04, 49.02, 51.81, 56.00, 68.12, 54.32,2019-06-09, 70, 31, 24, 60, 41, 35, 51.04, 43.12, 23.58, 36.70, 47.12, 21.15, 67.71, 58.72, 38.68, 54.13, 60.58, 36.54,4,児　島
 65, 57, 69, 13, 50, 26, 34.97, 32.92, 39.88, 32.29, 27.50, 29.53, 51.91, 49.07, 57.14, 49.48, 44.17, 48.32,2019-06-09, 16, 66, 36, 59, 35, 24, 40.37, 33.53, 28.49, 40.79, 30.32, 37.01, 55.28, 49.71, 43.02, 57.89, 40.65, 57.14,4,宮　島
 14, 31, 16, 26, 47, 49, 32.79, 31.09, 26.09, 34.96, 30.83, 30.25, 49.18, 48.74, 41.74, 48.78, 47.50, 52.94,2019-06-09, 25, 33, 26, 30, 43, 28, 29.41, 27.78, 26.32, 55.00, 40.00, 33.33, 41.18, 38.89, 36.84, 75.00, 40.00, 52.38,4,徳　山
 13, 28, 23, 32, 41, 69, 49.06, 24.00, 25.00, 25.00, 37.74, 40.82, 60.38, 38.00, 42.31, 44.23, 50.94, 55.10,2019-06-09, 58, 42, 65, 29, 31, 53, 14.29, 43.64, 25.49, 42.59, 41.82, 33.33, 30.95, 58.18, 29.41, 55.56, 65.45, 53.70,4,下　関
 36, 35, 38, 42, 52, 67, 36.22, 43.08, 36.14, 38.62, 37.44, 36.27, 52.43, 59.49, 50.99, 54.50, 49.75, 58.03,2019-06-09, 49, 51, 13, 57, 56, 39, 48.67, 36.45, 28.13, 27.47, 36.67, 29.36, 65.49, 47.66, 49.22, 47.25, 45.83, 44.95,4,若　松
 64, 37, 90, 82, 84, 75, 32.61, 26.09, 43.48, 19.44, 35.56, 34.62, 47.83, 41.30, 56.52, 30.56, 46.67, 46.15,2019-06-09, 42, 20, 68, 51, 34, 59, 29.08, 41.24, 33.68, 38.97, 42.13, 30.93, 40.82, 55.93, 47.89, 60.51, 57.87, 43.30,4,唐　津
 74, 69, 13, 26, 60, 30, 33.17, 42.49, 34.78, 36.17, 31.41, 37.95, 46.04, 56.99, 46.86, 51.60, 48.17, 59.49,2019-06-09, 61, 10, 49, 54, 60,  9, 41.48, 37.61, 33.20, 43.88, 28.77, 40.00, 55.68, 54.70, 48.83, 57.14, 46.23, 49.27,5,戸　田
 30, 12, 32, 28, 72, 22, 31.17, 28.76, 38.51, 40.88, 34.42, 37.50, 48.05, 45.75, 60.87, 58.49, 51.95, 56.25,2019-06-09, 37, 41, 62, 24, 49, 64, 26.83, 21.43, 34.62, 30.00, 33.33, 40.54, 53.66, 38.10, 69.23, 37.50, 52.78, 54.05,5,浜名湖
 34, 65, 32, 19, 30, 51, 32.86, 35.17, 33.33, 33.00, 29.79, 35.04, 46.67, 55.51, 50.22, 49.26, 53.62, 52.56,2019-06-09, 37, 34, 21, 62, 33, 30, 33.88, 24.30, 38.94, 29.17, 42.06, 20.37, 49.59, 42.06, 52.21, 43.33, 56.35, 38.89,5,常　滑
 66, 49, 32, 56, 57, 69, 29.55, 29.63, 23.53, 29.93, 34.56, 34.59, 48.86, 51.11, 38.24, 49.66, 50.74, 54.09,2019-06-09, 48, 20, 11, 63, 65, 13, 28.90, 33.56, 38.27, 33.55, 24.31, 35.06, 43.93, 51.01, 50.62, 49.34, 42.36, 52.60,5,　津　
 36, 53, 32, 22, 15, 17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-09, 45, 17, 47, 23, 57, 59,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,5,びわこ
 19, 34, 51, 59, 55, 90, 39.53, 33.33, 44.44, 34.88, 30.00, 28.57, 48.84, 40.00, 68.89, 58.14, 37.50, 38.10,2019-06-09, 88, 56, 22, 65, 24, 75, 62.79, 26.83, 29.55, 30.23, 29.79, 43.18, 81.40, 34.15, 47.73, 51.16, 53.19, 63.64,5,住之江
 33, 70, 56, 41, 58, 12, 30.00, 15.87, 44.59, 35.80, 16.98, 45.24, 52.00, 30.16, 52.70, 48.15, 33.96, 61.90,2019-06-09, 45, 27, 30, 40, 55, 25, 41.18, 24.55, 30.61, 19.79, 25.51, 22.33, 55.88, 43.64, 52.04, 36.46, 42.86, 36.89,5,児　島
 72, 64, 15, 43, 58, 30, 46.36, 27.69, 37.58, 32.95, 28.86, 39.55, 60.93, 36.15, 53.94, 51.14, 48.32, 56.50,2019-06-09, 40, 41, 47, 50, 43, 30, 29.51, 30.63, 42.50, 44.31, 45.16, 38.89, 40.44, 45.00, 61.88, 62.28, 59.35, 59.88,5,宮　島
 21, 45, 24, 71, 66, 11, 31.36, 35.71, 31.67, 33.86, 34.17, 37.07, 49.15, 58.73, 50.83, 46.46, 53.33, 55.17,2019-06-09, 45, 39, 24, 16, 14, 38, 57.14, 21.05, 42.11, 41.18, 26.32, 35.29, 85.71, 42.11, 52.63, 52.94, 73.68, 47.06,5,徳　山
 46, 25, 56, 49, 34, 51, 27.45, 33.33, 33.33, 33.96, 40.38, 41.18, 43.14, 49.02, 50.98, 45.28, 55.77, 56.86,2019-06-09, 50, 52, 59, 30, 28, 60, 40.35, 21.43, 28.57, 37.50, 25.00, 33.33, 56.14, 46.43, 46.94, 53.57, 44.23, 47.06,5,下　関
 22, 62, 31, 64, 21, 30, 38.27, 39.70, 34.01, 22.60, 40.49, 38.62, 57.14, 53.27, 59.39, 36.16, 58.54, 52.91,2019-06-09, 17, 60, 35, 14,  3, 48, 26.21, 29.09, 33.05, 34.86, 22.64, 33.91, 47.57, 36.36, 47.46, 43.12, 44.34, 54.78,5,若　松
 45, 77, 46, 57, 81, 43, 15.91, 34.15, 20.00, 41.30, 45.00, 37.78, 36.36, 48.78, 40.00, 58.70, 57.50, 57.78,2019-06-09, 26, 37, 12, 50, 35, 39, 43.10, 34.04, 42.54, 38.92, 34.57, 34.69, 63.22, 50.53, 60.77, 56.76, 54.79, 53.57,5,唐　津
 55, 37, 76, 32, 17, 29, 36.04, 30.20, 34.88, 35.29, 45.65, 33.82, 52.28, 48.02, 47.09, 55.88, 59.42, 46.86,2019-06-09, 28, 19, 37, 32, 59,  1, 45.96, 40.72, 39.71, 37.56, 34.66, 34.83, 63.64, 53.61, 54.41, 54.31, 55.11, 47.26,6,戸　田
 44, 15, 45, 38, 67, 74, 33.97, 34.62, 33.55, 26.45, 41.03, 23.03, 45.51, 55.13, 47.37, 40.65, 55.77, 35.53,2019-06-09, 33, 10, 14, 13, 47, 63, 43.24, 30.77, 32.56, 29.73, 29.55, 23.08, 67.57, 48.72, 55.81, 48.65, 50.00, 25.64,6,浜名湖
 60, 41, 62, 48, 52, 59, 35.84, 36.09, 35.22, 34.40, 35.15, 34.21, 52.21, 54.78, 53.91, 49.08, 51.88, 56.58,2019-06-09, 45, 17, 10,  5, 35, 41, 44.80, 27.43, 32.48, 31.19, 44.80, 27.45, 60.80, 39.82, 55.56, 49.54, 65.60, 44.12,6,常　滑
 21, 12, 31, 37, 74, 33, 32.88, 36.71, 34.38, 39.22, 31.11, 33.33, 54.11, 49.37, 56.88, 56.21, 45.19, 55.77,2019-06-09, 60, 58, 62, 14, 46, 50, 26.83, 29.24, 44.17, 25.00, 31.40, 27.06, 42.68, 46.78, 64.42, 42.50, 43.80, 39.41,6,　津　
 38, 29, 28, 26, 25, 55,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-09, 55, 32, 48, 33, 58, 34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,6,びわこ
 80, 67, 38, 63, 21, 71, 29.79, 33.33, 37.21, 31.82, 40.91, 37.21, 59.57, 47.62, 60.47, 54.55, 59.09, 48.84,2019-06-09, 82, 80, 38, 35, 86, 21, 43.18, 23.91, 38.46, 47.62, 37.78, 25.00, 54.55, 54.35, 50.00, 52.38, 71.11, 50.00,6,住之江
 59, 44, 16, 43, 29, 39, 31.58, 37.33, 25.58, 43.42, 35.14, 14.29, 59.21, 56.00, 34.88, 55.26, 47.30, 36.51,2019-06-09, 48, 20, 29, 42, 11, 68, 37.04, 47.17, 20.59, 46.53, 36.27, 38.10, 56.48, 61.32, 31.37, 60.40, 50.98, 62.86,6,児　島
 21, 22, 47, 66, 40, 38, 34.00, 27.39, 39.57, 36.42, 35.68, 30.41, 52.00, 39.49, 55.61, 49.38, 55.68, 47.95,2019-06-09, 14, 33, 58, 53, 67, 42, 31.71, 34.52, 33.71, 31.25, 50.31, 32.43, 47.56, 53.57, 52.00, 46.53, 60.25, 55.41,6,宮　島
 55, 34, 72, 53, 37, 33, 34.71, 30.25, 33.61, 34.43, 39.67, 38.02, 46.28, 42.86, 52.46, 45.90, 62.81, 59.50,2019-06-09, 37, 47, 41, 18, 34, 31, 30.00, 15.38, 31.58, 30.00, 35.00, 30.00, 40.00, 38.46, 68.42, 60.00, 40.00, 55.00,6,徳　山
 70, 47, 62, 17, 38, 50, 30.77, 38.89, 41.18, 28.85, 36.54, 33.96, 44.23, 66.67, 62.75, 40.38, 57.69, 52.83,2019-06-09, 17, 63, 57, 12, 19, 39, 27.08, 67.27, 36.36, 31.11, 25.45, 48.08, 47.92, 74.55, 52.73, 51.11, 40.00, 61.54,6,下　関
 13, 54, 29, 63, 32, 70, 41.05, 33.33, 27.11, 36.62, 28.13, 34.81, 62.63, 44.93, 42.77, 53.05, 46.88, 44.75,2019-06-09, 23, 24, 28, 12,  7, 54, 28.07, 27.05, 30.17, 33.33, 37.96, 36.75, 42.11, 50.00, 45.69, 53.33, 62.96, 52.14,6,若　松
 73, 41, 39, 31, 89, 67, 37.78, 27.66, 62.22, 19.57, 29.55, 20.45, 53.33, 42.55, 77.78, 28.26, 45.45, 36.36,2019-06-09, 11, 58, 17, 64, 62, 43, 41.95, 31.28, 41.11, 38.25, 27.91, 47.46, 59.20, 52.31, 57.22, 54.64, 41.86, 63.84,6,唐　津
 70, 43, 64, 23, 41, 77, 37.56, 39.66, 32.51, 34.26, 34.93, 31.68, 57.36, 51.96, 54.68, 53.70, 48.33, 48.51,2019-06-09, 55, 11, 23, 46, 40, 48, 39.91, 45.88, 33.80, 32.75, 31.62, 32.91, 55.50, 60.82, 46.30, 54.97, 47.06, 49.15,7,戸　田
