date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
2019-05-27, 27, 55, 22, 12, 52, 66, 30.30, 28.13, 29.41, 52.78, 25.93, 32.50, 48.48, 53.13, 41.18, 72.22, 59.26, 52.50,6,浜名湖
2019-05-27, 65, 51, 32, 58, 33, 21, 23.53, 33.33, 35.00, 33.33, 26.32, 23.53, 29.41, 50.00, 60.00, 50.00, 47.37, 41.18,6,蒲　郡
2019-05-27, 64,  5, 33,  7, 50, 65, 40.37, 29.59, 40.37, 45.26, 30.09, 35.14, 57.80, 46.94, 54.13, 65.26, 39.82, 50.45,6,常　滑
2019-05-27, 27, 21, 48, 68, 53, 12, 46.79, 41.01, 29.45, 32.12, 34.19, 28.87, 67.95, 60.43, 43.56, 52.55, 50.32, 50.70,6,　津　
2019-05-27, 23, 29, 20, 51, 73, 24, 37.50, 16.67, 36.84, 45.45, 41.94, 57.89, 50.00, 33.33, 63.16, 59.09, 87.10, 73.68,6,鳴　門
2019-05-27, 52, 22, 62, 38, 48, 54, 36.36, 44.95, 30.48, 38.39, 33.04, 37.50, 55.45, 59.63, 44.76, 56.25, 56.25, 58.04,6,丸　亀
2019-05-27,  6, 13, 35, 15, 51, 45, 34.82, 28.57, 33.93, 36.89, 34.31, 30.09, 50.89, 51.26, 48.21, 52.43, 46.08, 46.02,6,若　松
2019-05-27, 56, 48,  7, 14, 57, 30, 31.10, 38.91, 38.02, 40.40, 22.58, 40.08, 46.41, 50.21, 55.79, 56.00, 36.02, 56.12,6,芦　屋
2019-05-27, 36, 47, 50, 25, 19, 69, 26.74, 28.96, 38.86, 33.15, 35.71, 41.82, 41.71, 44.81, 56.57, 48.62, 52.75, 54.55,6,唐　津
2019-05-27, 33, 34, 64, 40, 54, 47, 26.98, 59.42, 16.36, 35.00, 16.07, 22.22, 44.44, 71.01, 30.91, 53.33, 35.71, 52.38,6,大　村
2019-05-27, 59, 62, 53, 25, 26, 10, 31.05, 42.73, 45.50, 34.23, 40.74, 38.32, 46.58, 59.55, 63.06, 54.50, 54.63, 54.21,7,平和島
2019-05-27, 74, 31, 26, 27, 65, 55,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,7,多摩川
2019-05-27, 21, 62, 47, 15, 60, 13, 21.88, 50.00, 26.47, 10.34, 37.50, 32.14, 37.50, 81.25, 44.12, 31.03, 53.13, 57.14,7,浜名湖
2019-05-27, 46, 49, 73, 60, 18, 29, 38.46, 72.73, 44.44, 33.33, 33.33, 33.33, 61.54, 72.73, 55.56, 44.44, 50.00, 57.14,7,蒲　郡
2019-05-27,  8, 27,  1, 15, 22, 31, 34.91, 34.58, 32.69, 39.62, 33.66, 28.16, 49.06, 45.79, 51.92, 56.60, 52.48, 43.69,7,常　滑
2019-05-27, 31, 55, 33, 46, 29, 62, 45.58, 34.18, 20.00, 31.58, 35.58, 41.45, 62.59, 56.33, 31.85, 43.86, 53.99, 61.84,7,　津　
2019-05-27, 70, 56, 53, 38, 58, 32,  4.55, 21.74, 29.17, 38.10, 13.64, 26.92,  9.09, 56.52, 41.67, 52.38, 36.36, 46.15,7,鳴　門
2019-05-27, 55,  5, 33, 58,  8, 59, 30.91, 25.71, 32.32, 33.94, 35.14, 41.44, 50.91, 40.95, 54.55, 51.38, 52.25, 59.46,7,丸　亀
2019-05-27,  7, 14, 58, 21, 16, 26, 36.08, 31.96, 38.83, 31.30, 33.64, 37.96, 60.82, 40.21, 58.25, 57.39, 50.91, 58.33,7,若　松
2019-05-27, 20, 17, 15,  8,  4, 19, 28.64, 37.19, 34.13, 34.02, 29.25, 36.73, 44.55, 53.31, 49.52, 52.70, 47.43, 53.54,7,芦　屋
2019-05-27, 70, 49, 44, 55, 59, 35, 39.34, 28.90, 35.12, 33.51, 29.35, 34.64, 51.91, 49.71, 51.19, 55.32, 41.85, 55.31,7,唐　津
2019-05-27, 69, 56, 68, 12, 17, 27, 27.94,  7.41, 33.33, 30.30, 25.42, 34.33, 52.94, 20.37, 58.73, 43.94, 47.46, 44.78,7,大　村
2019-05-27, 57, 48, 55, 70, 72, 20, 46.36, 39.19, 35.05, 31.10, 52.23, 30.73, 62.27, 57.21, 45.79, 46.89, 66.07, 54.63,8,平和島
2019-05-27, 34, 46, 37, 38, 41, 61,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,8,多摩川
2019-05-27, 61, 32,  4, 31, 48, 53, 53.57, 13.04, 27.78, 16.13, 30.77, 12.50, 71.43, 26.09, 50.00, 41.94, 57.69, 25.00,8,浜名湖
2019-05-27, 63, 31, 22, 72, 24, 14, 40.00, 33.33, 50.00, 33.33, 44.44, 36.36, 55.00, 52.38, 75.00, 55.56, 50.00, 54.55,8,蒲　郡
2019-05-27, 21, 17,  9, 51,  2, 23, 37.50, 26.47, 38.26, 35.19, 29.00, 26.61, 50.00, 39.22, 53.91, 51.85, 50.00, 47.71,8,常　滑
2019-05-27, 13, 59, 24, 34, 28, 37, 36.11, 39.07, 24.56, 30.77, 32.87, 22.12, 52.78, 52.32, 37.72, 41.26, 41.26, 40.71,8,　津　
2019-05-27, 54, 30, 74, 77, 35, 31, 29.41, 38.46, 59.26, 22.22, 51.85, 29.63, 35.29, 50.00, 85.19, 40.74, 62.96, 44.44,8,鳴　門
2019-05-27, 39, 26, 32, 56, 64, 53, 35.78, 31.13, 23.08, 40.91, 30.77, 31.25, 54.13, 48.11, 46.15, 55.45, 45.30, 50.00,8,丸　亀
2019-05-27, 44, 12, 55,  4, 54, 36, 45.45, 33.94, 36.04, 33.33, 36.11, 34.51, 62.81, 52.29, 54.05, 48.65, 51.85, 48.67,8,若　松
2019-05-27, 35, 54, 65, 13, 53,  1, 36.93, 29.13, 33.18, 36.61, 27.54, 36.80, 53.11, 46.12, 53.00, 58.27, 44.93, 54.00,8,芦　屋
2019-05-27, 41, 12, 17, 18, 62, 39, 32.97, 43.02, 42.69, 31.25, 28.83, 35.83, 51.89, 61.05, 59.06, 48.44, 41.72, 54.01,8,唐　津
2019-05-27, 62, 20, 16, 55, 41, 52, 40.00, 30.30, 28.33, 32.86, 38.24, 19.64, 61.54, 51.52, 48.33, 45.71, 52.94, 51.79,8,大　村
2019-05-27, 35, 56, 18, 16, 33, 29, 35.62, 56.83, 30.81, 38.67, 32.57, 41.01, 50.23, 74.45, 52.13, 56.44, 53.21, 62.21,9,平和島
2019-05-27, 52, 53, 19, 44, 17, 12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,9,多摩川
2019-05-27, 58, 54, 43, 35, 28, 23, 38.24, 18.18, 60.00, 42.86, 18.75, 14.29, 61.76, 42.42, 74.29, 67.86, 34.38, 35.71,9,浜名湖
2019-05-27, 62, 66, 71, 25, 55, 54, 35.29, 50.00, 55.56, 33.33, 42.11, 33.33, 52.94, 66.67, 88.89, 52.38, 57.89, 50.00,9,蒲　郡
2019-05-27, 18, 55, 43, 53, 54, 42, 23.36, 39.68, 28.30, 33.87, 33.91, 40.57, 38.32, 57.14, 48.11, 47.58, 47.83, 59.43,9,常　滑
2019-05-27, 70, 41, 72, 54, 17, 47, 32.67, 37.76, 51.08, 50.34, 29.11, 24.34, 51.33, 53.15, 64.03, 70.07, 47.47, 42.11,9,　津　
2019-05-27, 11, 16, 68, 22, 15, 21, 39.13, 26.09, 25.00, 82.35, 45.83, 18.75, 52.17, 43.48, 37.50, 94.12, 50.00, 37.50,9,鳴　門
2019-05-27, 38, 35, 15, 66,  2, 46, 38.39, 43.75, 41.07, 28.85, 27.03, 32.43, 56.25, 64.29, 48.21, 47.12, 45.95, 44.14,9,丸　亀
2019-05-27, 41, 47, 32,  1, 10, 11, 27.43, 45.95, 45.19, 34.00, 49.55, 25.00, 46.90, 62.16, 67.31, 50.00, 70.27, 47.92,9,若　松
2019-05-27, 23, 45, 57, 21, 12, 50, 30.87, 39.45, 22.58, 32.05, 35.17, 24.51, 51.30, 54.30, 36.02, 52.14, 50.00, 39.22,9,芦　屋
2019-05-27, 43, 53, 40, 21, 37, 67, 47.31, 33.52, 30.23, 32.04, 34.27, 28.88, 64.67, 52.75, 47.67, 51.93, 51.12, 50.80,9,唐　津
2019-05-27, 19, 46, 28, 71, 73, 50, 30.51, 34.62, 35.38, 30.16, 43.66, 31.82, 47.46, 67.31, 58.46, 50.79, 63.38, 40.91,9,大　村
2019-05-27, 30, 58, 22, 50, 66, 52, 29.86, 38.89, 33.48, 33.94, 33.94, 38.05, 47.06, 60.65, 52.23, 50.92, 48.42, 55.31,10,平和島
2019-05-27, 50, 67, 42, 60, 47, 29,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,10,多摩川
2019-05-27, 12, 39, 64, 51, 26, 38, 52.78, 41.38, 46.15, 52.78, 13.33, 37.50, 72.22, 51.72, 50.00, 63.89, 26.67, 62.50,10,浜名湖
