date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,flying_1,flying_2,flying_3,flying_4,flying_5,flying_6,late_1,late_2,late_3,late_4,late_5,late_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
2019-05-15,唐　津,11,6.77,6.77,6.80,6.81,6.78,6.82,.01,.08,.11,.01,.06,0.02,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,森　野　　正　弘,徳　増　　秀　樹,渡　邉　　　　翼,白　水　　勝　也,中　田　　達　也,中　尾　　　　誠,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.6,51.6,48.5,51.0,51.7,51.0
2019-05-15,桐　生,12,6.64,6.71,6.76,6.69,6.78,6.71,.13,.26,.27,.31,.01,0.12,1,2,3,4,5,6.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,,,大　瀧　　明日香,廣　中　　智紗衣,水　野　　望　美,谷　川　　里　江,田　口　　節　子,今　井　　裕　梨,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,45.5,46.0,46.0,45.5,46.0,45.0
2019-05-15,江戸川,12,6.88,6.92,7.00,6.83,7.03,7.11,.10,.22,.17,.12,.18,0.28,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,石　渡　　鉄　兵,笠　原　　　　亮,鶴　本　　崇　文,片　岡　　雅　裕,三井所　　尊　春,後　藤　　翔　之,0.5,0.5,1.0,2.0,1.0,2.0,51.0,52.8,51.0,51.4,51.0,52.4
2019-05-15,多摩川,12,6.75,6.80,6.78,6.80,6.78,6.78,.10,.10,.15,.03,.06,0.03,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,岡　崎　　恭　裕,長　尾　　章　平,大　賀　　広　幸,関　　　　浩　哉,赤　羽　　克　也,服　部　　達　哉,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,51.0,51.1,50.5,50.5,51.1,53.6
2019-05-15,　津　,12,6.74,6.66,6.75,6.69,6.79,6.8,.06,.01,.04,.01,.18,0.34,1,2,3,4,5,6.0,0,1,0,1,0,0,0.0,,0.0,,0.0,0.0,中　澤　　和　志,峰　　　　竜　太,菊　地　　孝　平,安　達　　裕　樹,井　口　　佳　典,瓜　生　　正　義,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.5,51.0,54.2,51.0,51.0,50.5
2019-05-15,三　国,12,6.95,6.81,6.81,6.74,6.90,6.93,.18,.03,.07,.02,.00,0.09,1,2,3,4,5,6.0,1,1,1,1,0,0,,,,,0.0,0.0,岡　田　　憲　行,谷　津　　幸　宏,泥　谷　　一　毅,花　田　　和　明,吉　田　　裕　平,森　安　　弘　雅,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.1,52.2,55.8,51.0,51.1,51.0
2019-05-15,住之江,12,6.73,6.79,6.83,6.82,6.79,6.7,.09,.12,.07,.07,.04,0.05,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,渡　辺　　浩　司,細　川　　裕　子,土　屋　　太　朗,川　上　　昇　平,佐　藤　　博　亮,森　定　　晃　史,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,46.0,52.2,51.6,53.0,51.0
2019-05-15,児　島,12,6.63,6.75,6.80,6.74,6.84,6.84,.10,.02,.01,.01,.03,0.07,1,2,3,4,5,6.0,0,0,0,1,1,0,0.0,0.0,0.0,,,0.0,若　狭　　奈美子,小　野　　生　奈,今　井　　美　亜,塩　崎　　桐　加,清　水　　沙　樹,孫　崎　　百　世,0.0,-0.5,0.0,-0.5,-0.5,-0.5,47.0,45.5,47.0,49.6,47.2,46.5
2019-05-15,下　関,12,6.81,6.80,6.82,6.84,6.79,6.76,.16,.03,.02,.06,.15,0.0,1,2,3,4,5,6.0,0,0,0,1,1,0,0.0,0.0,0.0,,,0.0,篠　崎　　元　志,石　田　　政　吾,山　崎　　智　也,岩　瀬　　裕　亮,岡　村　　慶　太,繁野谷　　圭　介,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.3,51.0,51.1,52.6,51.3
2019-05-15,福　岡,12,6.92,6.87,6.91,6.93,6.91,6.91,.25,.06,.04,.01,.00,0.05,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,江　口　　晃　生,永　井　　　　源,岩　崎　　正　哉,宇佐見　　　　淳,富　永　　修　一,山　崎　　聖　司,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,51.5,51.0,53.3,52.0,51.3,50.5
2019-05-15,唐　津,12,6.75,6.76,6.73,6.82,6.87,6.82,.13,.04,.06,.13,.01,0.04,1,4,5,2,3,6.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,,0.0,佐々木　　康　幸,松　田　　竜　馬,山　崎　　裕　司,村　上　　　　純,湯　川　　浩　司,三　浦　　敬　太,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.9,50.5,51.3,52.2,51.0,51.0
